mood,city,state,reason,image_url,preferred_activities,activities_reason
festive,Hyderabad,Telangana,Ramzan celebrations,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Food Walks, Mosque Tours, Night Markets, Perfume Shopping, Cultural Performances","Known for Haleem and Iftar food trails, guided tours of decorated mosques, exploration of vibrant night bazaars, shopping for traditional ittar perfumes, and Qawwali music performances during the holy month"
festive,Madurai,Tamil Nadu,Pongal celebrations,https://images.unsplash.com/photo-1590051433770-568b3a3d8fdb,"Temple Rituals, Harvest Activities, Kolam Making, Bull Taming Viewing, Traditional Cooking Classes","Offers participation in temple harvest rituals, traditional farming activity experiences, colorful rice flour Kolam design workshops, viewing of Jallikattu bull taming events, and classes for making Pongal festive dishes"
festive,Ujjain,Madhya Pradesh,Kumbh Mela celebrations,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Holy Dips, Sadhu Meetings, Ritual Observations, Spiritual Discourses, Festival Photography","Features participation in sacred river bathing ceremonies, interactions with sadhus and ascetics, observation of ancient religious rituals, attendance at spiritual leader discourses, and guided photography of one of world's largest gatherings"
festive,Puri,Odisha,Rath Yatra festival,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Chariot Pulling, Temple Visits, Sand Art Viewing, Cultural Performances, Festival Food Tasting","Known for joining the chariot pulling procession, special Jagannath temple visits, viewing of intricate Rath Yatra themed sand art, Odissi dance performances, and sampling of traditional festival prasad and cuisine"
festive,Nashik,Maharashtra,Kumbh Mela celebrations,https://images.unsplash.com/photo-1587922546307-776227941871,"River Rituals, Akhara Visits, Spiritual Walks, Religious Discourses, Cultural Performances","Offers participation in Godavari River ceremonies, visits to different religious akharas, guided spiritual walks through festival grounds, attendance at saints' religious discourses, and traditional Maharashtra folk performances"
festive,Thrissur,Kerala,Pooram festival,https://images.unsplash.com/photo-1593693397690-362cb9666fc2,"Elephant Processions, Percussion Performances, Firework Displays, Temple Visits, Cultural Shopping","Famous for viewing ornately decorated elephant parades, experiencing thunderous Panchavadyam percussion ensembles, spectacular fireworks displays, visits to Vadakkunnathan Temple, and shopping for festival crafts and attire"
festive,Bhubaneswar,Odisha,Konark dance festival,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Dance Performances, Temple Tours, Dance Workshops, Photography Sessions, Handicraft Shopping","Features classical dance performances against Sun Temple backdrop, guided architectural tours, introductory dance form workshops, specialized performance photography sessions, and shopping for traditional Odisha handicrafts"
peaceful,Tawang,Arunachal Pradesh,Serene monasteries and mountains,https://images.unsplash.com/photo-1566552881560-0be862a7c445,"Monastery Visits, Mountain Hiking, Lake Meditation, Local Interaction, Bird Watching","Offers peaceful visits to ancient Tawang Monastery, serene hikes in surrounding mountains, meditation sessions by Pankang Teng Tso Lake, authentic interactions with Monpa tribespeople, and Himalayan bird watching opportunities"
peaceful,Khajjar,Himachal Pradesh,Mini Switzerland with meadows,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Meadow Walks, Horse Riding, Forest Hiking, Picnicking, Photography","Known for tranquil walks across the meadow plateau, gentle horse riding tours, peaceful cedar forest hiking trails, picnic spots with panoramic views, and landscape photography of the mountain-surrounded meadows"
peaceful,Silent Valley,Kerala,National park with rare species,https://images.unsplash.com/photo-1593693397690-362cb9666fc2,"Nature Walks, Bird Watching, Photography, Rainforest Treks, Meditation Retreats","Features guided silent nature walks, rare bird spotting opportunities, wildlife photography in pristine settings, educational rainforest biodiversity treks, and forest meditation retreats in undisturbed environments"
peaceful,Ziro Valley,Arunachal Pradesh,Rice fields and tribal culture,https://images.unsplash.com/photo-1566552881560-0be862a7c445,"Rice Field Walks, Tribal Village Visits, Bamboo Craft Workshops, Bird Watching, Photography","Offers serene walks through terraced rice paddies, respectful visits to Apatani tribal homes, traditional bamboo craft learning sessions, subtropical bird watching experiences, and landscape photography of unique terrain"
peaceful,Majuli,Assam,River island with monastery culture,https://images.unsplash.com/photo-1566552881560-0be862a7c445,"Sattra Visits, Mask Making Workshops, Boat Rides, Birdwatching, Rural Homestays","Known for peaceful visits to Vaishnavite sattras (monasteries), traditional mask making craft workshops, tranquil boat rides on the Brahmaputra, riverine bird watching opportunities, and authentic rural family homestay experiences"
peaceful,Dhanaulti,Uttarakhand,Quiet hill station with forests,https://images.unsplash.com/photo-1590766940554-153a4d9afce7,"Forest Walks, Eco Park Visits, Meditation, Apple Orchard Tours, Mountain Gazing","Features serene deodar forest walking trails, visits to peaceful Eco Parks, guided meditation sessions, tours of traditional apple orchards, and contemplative Himalayan mountain viewing spots"
peaceful,Mawlynnong,Meghalaya,Asia's cleanest village,https://images.unsplash.com/photo-1566552881560-0be862a7c445,"Living Root Bridge Visits, Village Walks, Bamboo Skywalk, Organic Farm Tours, Waterfall Visits","Offers tranquil exploration of living root bridges, peaceful walks through the immaculate village, views from bamboo skywalks, educational tours of traditional organic farms, and quiet visits to nearby waterfalls"
peaceful,Pangong Lake,Ladakh,Peaceful high-altitude lake,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Lakeshore Meditation, Photography, Star Gazing, Sunrise Viewing, Quiet Camping","Known for meditative experiences by the blue waters, high-altitude landscape photography, exceptional night sky star gazing, peaceful sunrise viewing over mountains, and tranquil lakeside camping experiences"
peaceful,Tirthan Valley,Himachal Pradesh,Peaceful river valley,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Riverside Relaxation, Trout Fishing, Forest Meditation, Village Walks, Waterfall Hiking","Features peaceful relaxation by clear Tirthan River, gentle trout fishing experiences, meditation sessions in ancient forests, quiet walks through traditional villages, and serene hikes to hidden waterfalls"
peaceful,Wayanad,Kerala,Peaceful wildlife sanctuary,https://images.unsplash.com/photo-1593693397690-362cb9666fc2,"Wildlife Watching, Bamboo Rafting, Plantation Walks, Cave Exploration, Forest Bathing","Offers quiet wildlife observation experiences, gentle bamboo rafting adventures, serene walks through spice plantations, exploration of ancient Edakkal caves, and therapeutic forest bathing in pristine rainforests"
peaceful,Mechuka,Arunachal Pradesh,Remote peaceful valley,https://images.unsplash.com/photo-1566552881560-0be862a7c445,"Mountain Meditation, River Walks, Buddhist Temple Visits, Apple Orchard Tours, Star Gazing","Known for meditation with panoramic mountain views, peaceful walks along Yargyap Chu River, serene Buddhist temple visitations, tours of traditional apple orchards, and clear night sky star gazing experiences"
peaceful,Yuksom,Sikkim,First capital with peaceful monasteries,https://images.unsplash.com/photo-1566552881560-0be862a7c445,"Monastery Visits, Forest Walks, Meditation Retreats, Hot Spring Bathing, Mountain Trail Hiking","Features tranquil visits to Dubdi Monastery, serene walks through old-growth forests, guided meditation retreats, relaxing natural hot spring bathing, and peaceful hiking on Kanchenjunga base camp trails"
peaceful,Diskit,Ladakh,Peaceful monastery town,https://images.unsplash.com/photo-1626621341517-bbf3d9990a23,"Monastery Meditation, Desert Walks, Buddha Statue Visits, Nubra Valley Views, Quiet Camping","Offers meditation sessions at Diskit Monastery, peaceful walks in the high-altitude desert, contemplative visits to towering Buddha statue, serene viewpoints over Nubra Valley, and quiet camping under desert stars"
peaceful,Chilika Lake,Odisha,Peaceful lagoon with birds,https://images.unsplash.com/photo-1623060386759-341f7491be1f,"Bird Watching, Boat Safaris, Island Visits, Dolphin Spotting, Sunset Meditation","Known for quiet bird watching of over 160 species, peaceful boat safaris across the lagoon, visits to tranquil islands like Honeymoon Island, gentle Irrawaddy dolphin spotting excursions, and sunset meditation by the waters"
peaceful,Horsley Hills,Andhra Pradesh,Peaceful hill station,https://images.unsplash.com/photo-1621831714462-bec401aa0dbc,"Nature Walks, Environmental Education, Windmill Visits, Viewpoint Meditation, Eucalyptus Forest Trails","Features serene nature walks on quiet trails, educational visits to Environment Park, peaceful viewings of wind energy farms, meditation at scenic viewpoints, and tranquil strolls through fragrant eucalyptus forests"
